기능명,Depth1,Depth2,Depth3,MASTER,OPERATOR,기능 정의,대메뉴,번호,비고,일반,정책
OTP 잠금 오류 메시지,로그인,로그인 실패 메시지,OTP 실패 잠금,-,-,OTP 5회 이상 실패로 잠금된 계정에 대한 메시지 노출,로그인 및 인증,17,,-,메시지: OTP 오류로 잠금된 아이디입니다. 관리자에게 문의하세요.
관리자 로그인 정책,로그인 정책,관리자 로그인,,-,-,아이디/비밀번호 인증 후 OTP 2차 인증을 수행,정책,4,,-,XpERP 계정 인증 연동
OTP 실패 카운트 증가,OTP 인증,OTP 실패 카운트 증가,,O,O,OTP 인증 실패 시 별도 실패 횟수 증가,로그인 및 인증,21,,X,"비밀번호 실패와 분리 관리, 실패 횟수 표시 예: 2/5"
로그인 버튼,로그인,로그인 버튼,,-,-,"아이디, 비밀번호 검증",로그인 및 인증,12,,-,"기본/비활성/로딩 상태 제공, 필수값 미입력 시 비활성화"
비밀번호 입력,로그인,비밀번호,,-,-,XpERP 비밀번호 입력,로그인 및 인증,10,XpERP와 정책 동일,-,"최대 12자, 입력 문자 제한 없음"
OTP 실패 카운트 정책,로그인 정책,OTP 실패 카운트,,-,-,OTP 실패 횟수는 별도로 누적 관리,정책,5,,-,로그인 1차 인증 성공 후 OTP 실패만 별도 집계. 해제 후 재실패 시 동일 잠금 정책 재적용.
권한 없음 오류 메시지,로그인,로그인 실패 메시지,권한 없음 오류,-,-,권한 미보유 계정 또는 비활성 상태 계정의 접근 차단,로그인 및 인증,16,,-,메시지: 권한이 없는 사용자입니다. 관리자에게 권한을 요청해 주세요.
OTP 검증,OTP 인증,OTP 검증,,O,O,입력한 OTP 코드 유효성 검증 후 로그인 완료,로그인 및 인증,20,,X,인증 성공 시 로그인 및 대시보드 이동
중복 로그인 제한,세션 관리,중복 로그인 제한,,O,O,동일 계정의 동시 로그인 차단,로그인 및 인증,25,세션 만료 시점에 작업 중이던 경우 임시 저장 후 로그인 화면 이동 처리 필요. 권한 변경 즉시 반영 시 해당 세션 강제 종료 정책 결정 필요.,X,"중복 로그인 불가, 중복 로그인 시 이전 세션 종료"
로그인 요청,로그인,로그인 요청,,-,-,입력한 계정 정보로 관리자 인증 수행,로그인 및 인증,13,성공 시 OTP 인증 이동,-,XpERP 계정 인증 연동
계정/비밀번호 오류 메시지,로그인,로그인 실패 메시지,계정/비밀번호 오류,-,-,계정 아이디 또는 비밀번호가 XpERP 계정과 다를 시 출력,로그인 및 인증,15,,-,"아이디 또는 비밀번호가 올바르지 않습니다. XpERP 인증 서버 연결 실패 시 '서버 연결 오류, 잠시 후 다시 시도해주세요' 별도 메시지 표시."
어드민 접근 권한,권한 정책,어드민 접근 권한,,-,-,"MASTER, OPERATOR 권한만 접근 가능",정책,2,,-,USER 권한은 접근 불가
OTP 실패 안내,OTP 인증,OTP 실패 안내,,O,O,OTP 인증 실패 시 오류 메시지와 남은 시도 횟수 노출,로그인 및 인증,22,,X,OTP 실패 정책 별도 적용
OTP 확인 버튼,OTP 인증,확인 버튼,인증 완료,O,O,OTP 입력 후 인증 요청을 수행한다,로그인 및 인증,19,,X,"기본/비활성/로딩 상태 제공, OTP 6자리 입력 완료 시 활성화"
아이디 저장,로그인,아이디 저장,,-,-,아이디 저장 체크 시 브라우저에 아이디 저장,로그인 및 인증,11,,-,"LocalStorage 저장, 비밀번호 저장 금지"
아이디 입력,로그인,아이디,,-,-,XpERP 아이디 입력,로그인 및 인증,9,XpERP와 정책 동일,-,"최대 10자, 영문/숫자 조합"
권한별 메뉴 제어,권한 정책,권한별 메뉴 제어,,-,-,메뉴 노출은 권한에 따라 제어,정책,3,,-,계정/권한 관리는 MASTER만 접근 가능
관리자 계정 운영 정책,계정 정책,관리자 계정 운영,,-,-,"기존 XpERP 계정(MASTER, OPERATOR, USER)을 기반으로 운영",정책,1,,-,"MASTER, OPERATOR 권한 분리하여 관리 필요"
OTP 실패 메시지,OTP 인증,OTP 실패 메시지,,O,O,"OTP 실패, 잠금 상태 안내 메시지 제공",로그인 및 인증,24,,X,메시지: OTP 5회 실패로 아이디가 잠겼습니다. 관리자에게 문의하세요.
비인가 계정 차단,로그인,비인가 계정 차단,,-,-,권한 미보유 계정의 페이지 접근 차단,로그인 및 인증,14,,-,"MASTER, OPERATOR만 로그인 허용"
OTP 실패 잠금 정책,로그인 정책,OTP 실패 잠금,,-,-,OTP 5회 초과 실패 시 계정을 잠금 처리,정책,6,MASTER 개발자 별도 잠금 해제,-,잠금 해제는 MASTER만 가능. 해제 후 동일 계정이 OTP 5회 재실패 시 즉시 재잠금 처리.
OTP 계정 잠금,OTP 인증,OTP 실패 계정 잠금,,O,O,OTP 실패 5회 초과 시 계정 잠금,로그인 및 인증,23,,X,계정 잠금 시 어드민 페이지 접근 불가
OTP 입력,OTP 인증,OTP 입력,,O,O,구글 OTP 코드 입력,로그인 및 인증,18,XpERP와 정책 동일,X,XpERP와 동일한 2차 인증 정책 적용
잠금 해제 조건,로그인 정책,잠금 해제 조건,,-,-,MASTER는 잠금 해제 시 사유를 기록하고 해제 이력을 남김,정책,7,,-,"잠금 해제 권한, 사유 기록, 로그 필수"
세션 및 중복 로그인 정책,로그인 정책,세션 및 중복 로그인,,-,-,"2시간 미사용 시 자동 로그아웃, 동일 계정 중복 로그인 제한",정책,8,,-,보안 세션 정책 적용
문서 목록 테이블,문서 목록,목록 테이블,공통 컬럼,O,X,업로드된 RAG 문서 목록을 리스트로 제공,콘텐츠 관리,46,문서 관리,X,"문서명, 문서 유형, 등록자, 등록일시, 최종 수정일 기준으로 조회"
대시보드 메뉴,GNB,대시보드,,O,O,운영 현황을 확인하는 메인 화면으로 이동,공통 레이아웃,28,,X,"MASTER, OPERATOR 노출"
콘텐츠 관리 메뉴,GNB,콘텐츠 관리,,O,X,"RAG 문서를 등록, 수정, 삭제, 이력 관리하는 화면으로 이동",공통 레이아웃,29,"[UX흐름] 콘텐츠 관리(29)는 RAG 문서 등록·수정·삭제, 지식 기반 조회(30)는 등록된 문서로 챗봇 응답 테스트. GNB 레이블에 역할 차이 명확히 표시 필요.",X,MASTER 전용 메뉴
기간 선택 버튼,운영 현황,기간,기간 버튼,O,O,상단에 일/주/월 버튼을 제공하고 선택에 따라 데이터 집계 범위를 변경,대시보드,37,집계 기준 보완,X,"일/주/월 버튼 제공, 선택 상태 강조, 현재 선택 외 버튼은 기본 상태 유지"
접속자 수,운영 현황,핵심 지표,접속자 수,O,O,해당 기간 챗봇 이용 사용자 수를 카드 형태로 제공,대시보드,38,,X,"중복 사용자 제거, 단일 사용자 기준"
